user_id,friend_id,is_friend,common_friends_count,demographics_sex_user,demographics_age_user,demographics_city_user,education_career_education_university_user,education_career_education_faculty_user,demographics_sex_friend,demographics_age_friend,demographics_city_friend,education_career_education_university_friend,education_career_education_faculty_friend
154151541,276400143,True,0,мужской,22.0,Химки,Неизвестно,Неизвестно,мужской,21.0,Москва,Неизвестно,Неизвестно
154151541,281641201,True,1,мужской,22.0,Химки,Неизвестно,Неизвестно,мужской,25.0,Москва,РТУ МИРЭА,Институт информационных технологий
154151541,282323463,True,0,мужской,22.0,Химки,Неизвестно,Неизвестно,мужской,22.0,Москва,Неизвестно,Неизвестно
154151541,283576464,True,0,мужской,22.0,Химки,Неизвестно,Неизвестно,женский,22.0,Симферополь,Неизвестно,Неизвестно
154151541,283922767,True,0,мужской,22.0,Химки,Неизвестно,Неизвестно,мужской,21.0,Москва,Неизвестно,Неизвестно
154151541,286877958,True,13,мужской,22.0,Химки,Неизвестно,Неизвестно,мужской,22.0,Москва,Неизвестно,Неизвестно
154151541,319349113,True,0,мужской,22.0,Химки,Неизвестно,Неизвестно,мужской,22.0,Жуковский,Неизвестно,Неизвестно
154151541,327733536,True,3,мужской,22.0,Химки,Неизвестно,Неизвестно,женский,21.0,Москва,Неизвестно,Неизвестно
154151541,330856466,True,0,мужской,22.0,Химки,Неизвестно,Неизвестно,мужской,22.0,Москва,Неизвестно,Неизвестно
154151541,337418663,True,7,мужской,22.0,Химки,Неизвестно,Неизвестно,мужской,22.0,Санкт-Петербург,РТУ МИРЭА,Институт информационных технологий
154151541,342243498,True,9,мужской,22.0,Химки,Неизвестно,Неизвестно,мужской,22.0,Москва,Неизвестно,Неизвестно
154151541,342258015,True,0,мужской,22.0,Химки,Неизвестно,Неизвестно,мужской,22.0,Химки,Неизвестно,Неизвестно
154151541,345307505,True,0,мужской,22.0,Химки,Неизвестно,Неизвестно,мужской,22.0,Berlin,Неизвестно,Неизвестно
154151541,346144945,True,1,мужской,22.0,Химки,Неизвестно,Неизвестно,мужской,20.0,Москва,Неизвестно,Неизвестно
154151541,350840991,True,11,мужской,22.0,Химки,Неизвестно,Неизвестно,мужской,22.0,Москва,Неизвестно,Неизвестно
154151541,359178717,True,19,мужской,22.0,Химки,Неизвестно,Неизвестно,мужской,22.0,Москва,Неизвестно,Неизвестно
154151541,359942285,True,0,мужской,22.0,Химки,Неизвестно,Неизвестно,мужской,21.0,Москва,РТУ МИРЭА,Институт информационных технологий
154151541,361386011,True,1,мужской,22.0,Химки,Неизвестно,Неизвестно,мужской,22.0,Москва,Неизвестно,Неизвестно
154151541,363088358,True,3,мужской,22.0,Химки,Неизвестно,Неизвестно,женский,22.0,Москва,Неизвестно,Неизвестно
154151541,368048152,True,2,мужской,22.0,Химки,Неизвестно,Неизвестно,мужской,22.0,Москва,Неизвестно,Неизвестно
154151541,372566434,True,5,мужской,22.0,Химки,Неизвестно,Неизвестно,мужской,22.0,Москва,Неизвестно,Неизвестно
154151541,381065555,True,1,мужской,22.0,Химки,Неизвестно,Неизвестно,мужской,22.0,Москва,РТУ МИРЭА,Неизвестно
154151541,387143718,True,2,мужской,22.0,Химки,Неизвестно,Неизвестно,мужской,22.0,Москва,Неизвестно,Неизвестно
154151541,387516654,True,0,мужской,22.0,Химки,Неизвестно,Неизвестно,мужской,20.0,Москва,Неизвестно,Неизвестно
154151541,394100799,True,8,мужской,22.0,Химки,Неизвестно,Неизвестно,мужской,20.0,Москва,РТУ МИРЭА,Институт информационных технологий
154151541,395426263,True,1,мужской,22.0,Химки,Неизвестно,Неизвестно,мужской,22.0,Москва,Неизвестно,Неизвестно
154151541,395645310,True,2,мужской,22.0,Химки,Неизвестно,Неизвестно,мужской,22.0,Москва,Неизвестно,Неизвестно
154151541,410472515,True,13,мужской,22.0,Химки,Неизвестно,Неизвестно,мужской,22.0,Королёв,РТУ МИРЭА,Неизвестно
154151541,413446243,True,0,мужской,22.0,Химки,Неизвестно,Неизвестно,мужской,53.0,Москва,Неизвестно,Неизвестно
154151541,419168599,True,8,мужской,22.0,Химки,Неизвестно,Неизвестно,мужской,22.0,Москва,Неизвестно,Неизвестно
154151541,425382019,True,11,мужской,22.0,Химки,Неизвестно,Неизвестно,женский,22.0,Москва,Неизвестно,Неизвестно
154151541,426371293,True,1,мужской,22.0,Химки,Неизвестно,Неизвестно,мужской,22.0,Москва,Неизвестно,Неизвестно
154151541,432150818,True,3,мужской,22.0,Химки,Неизвестно,Неизвестно,мужской,22.0,Москва,МГТУ им. Н. Э. Баумана (бывш. МВТУ),Неизвестно
154151541,432814093,True,11,мужской,22.0,Химки,Неизвестно,Неизвестно,мужской,22.0,Кизнер (поселок),Неизвестно,Неизвестно
154151541,433897698,True,0,мужской,22.0,Химки,Неизвестно,Неизвестно,мужской,23.0,Химки,Неизвестно,Неизвестно
154151541,441397508,True,0,мужской,22.0,Химки,Неизвестно,Неизвестно,женский,22.0,Москва,Неизвестно,Неизвестно
154151541,442167323,True,0,мужской,22.0,Химки,Неизвестно,Неизвестно,мужской,22.0,Москва,Неизвестно,Неизвестно
154151541,450496772,True,0,мужской,22.0,Химки,Неизвестно,Неизвестно,мужской,22.0,Химки,Неизвестно,Неизвестно
154151541,457226450,True,4,мужской,22.0,Химки,Неизвестно,Неизвестно,женский,22.0,Москва,Неизвестно,Неизвестно
154151541,465363318,True,3,мужской,22.0,Химки,Неизвестно,Неизвестно,мужской,22.0,Москва,Неизвестно,Неизвестно
154151541,466579963,True,7,мужской,22.0,Химки,Неизвестно,Неизвестно,мужской,22.0,Москва,Неизвестно,Неизвестно
154151541,472328693,True,0,мужской,22.0,Химки,Неизвестно,Неизвестно,мужской,27.0,Санкт-Петербург,Неизвестно,Неизвестно
154151541,474388963,True,4,мужской,22.0,Химки,Неизвестно,Неизвестно,мужской,22.0,Химки,Неизвестно,Неизвестно
154151541,476330366,True,0,мужской,22.0,Химки,Неизвестно,Неизвестно,мужской,18.0,Пенза,Неизвестно,Неизвестно
154151541,490832222,True,0,мужской,22.0,Химки,Неизвестно,Неизвестно,женский,22.0,Москва,Неизвестно,Неизвестно
154151541,491446601,True,0,мужской,22.0,Химки,Неизвестно,Неизвестно,мужской,24.0,Москва,Неизвестно,Неизвестно
154151541,505204903,True,2,мужской,22.0,Химки,Неизвестно,Неизвестно,мужской,22.0,Москва,Неизвестно,Неизвестно
154151541,506144993,True,0,мужской,22.0,Химки,Неизвестно,Неизвестно,мужской,18.0,Барнаул,Неизвестно,Неизвестно
154151541,527431797,True,0,мужской,22.0,Химки,Неизвестно,Неизвестно,мужской,22.0,Москва,Неизвестно,Неизвестно
154151541,542173460,True,0,мужской,22.0,Химки,Неизвестно,Неизвестно,женский,22.0,Москва,Неизвестно,Неизвестно
154151541,548550935,True,10,мужской,22.0,Химки,Неизвестно,Неизвестно,мужской,20.0,Москва,РТУ МИРЭА,Институт информационных технологий
154151541,548864523,True,0,мужской,22.0,Химки,Неизвестно,Неизвестно,женский,20.0,Москва,Неизвестно,Неизвестно
154151541,558275035,True,1,мужской,22.0,Химки,Неизвестно,Неизвестно,мужской,23.0,Москва,Неизвестно,Неизвестно
154151541,567333224,True,0,мужской,22.0,Химки,Неизвестно,Неизвестно,мужской,22.0,Москва,Неизвестно,Неизвестно
154151541,579510402,True,0,мужской,22.0,Химки,Неизвестно,Неизвестно,мужской,19.0,Москва,Неизвестно,Неизвестно
154151541,583194957,True,0,мужской,22.0,Химки,Неизвестно,Неизвестно,мужской,22.0,Москва,Неизвестно,Неизвестно
